poly_id,n,rmse_base,rmse_seas,mae_base,mae_seas,slope,intercept,pearson_r,r2_in,delta_rmse
P107,137,0.18540877123924282,0.22122338896553456,0.15003571514651992,0.17336362816379877,1.1289308172623618,-0.1890348459259548,0.7340627799651905,0.5388481649302237,-0.03581461772629174
P108,138,0.1496897117945279,0.16852559559109986,0.11173590261504751,0.12987594205877145,0.801464218063398,-0.06471119569102099,0.7358286329783984,0.5414437771108588,-0.018835883796571973
P109,139,0.21308514870489653,0.22679627081928963,0.17597542625158058,0.178862057918807,0.7369758785903338,0.15893147034084543,0.47085921428416805,0.22170839967630418,-0.013711122114393098
P110,137,0.19022057736717427,0.20648026515369172,0.14514987807735752,0.16225506170834875,0.7589574313621453,0.0025549092059143517,0.6773494136046867,0.4588022281106132,-0.016259687786517457
P111,128,0.1717268988640945,0.19584919909719564,0.1258273857141153,0.14337165818930064,0.9914132958611863,-0.1739030689047233,0.7207417020992283,0.5194686011448919,-0.024122300233101135
P112,128,0.28313758695182084,0.22777069708869488,0.23880683763229177,0.17185829591225638,0.20163655363803837,0.2523992144723415,0.14448403252563827,0.020875635654869718,0.05536688986312596
P113,130,0.15795109755936568,0.17923590404738726,0.12917566011903098,0.13556614067250988,1.0306182308930636,-0.14293366451523687,0.756576549287668,0.5724080749320353,-0.021284806488021585
P114,119,0.17836527710697203,0.16393133410637017,0.1306182237390595,0.11653370847877874,1.3054813908998348,-0.4098203254289654,0.7176796613090144,0.5150640962566214,0.014433943000601857
P115,139,0.15774181609005913,0.19267797047142599,0.12046408322020208,0.1463522300726027,0.7400852008026398,-0.04402917926277903,0.749433274579049,0.5616502330462767,-0.03493615438136685
P116,131,0.2939896272043385,0.35030712227634186,0.23957501525414704,0.2727306168949245,0.5814168530350635,0.10625354984687449,0.4080747182785128,0.16652497569808777,-0.05631749507200334
P117,128,0.214181595993283,0.24150415002053832,0.17018840143142802,0.18105961639760204,1.0291654260003837,-0.23217049561332095,0.7059863910309319,0.49841678432088043,-0.027322554027255308
P118,130,0.04710020739830505,0.04781609781943031,0.030468109488340864,0.030750184560138717,-0.0973446486889553,0.15231464408585352,-0.06930042234039203,0.004802548536556817,-0.0007158904211252634
P119,133,0.26338876095685304,0.23453574082120693,0.21867078054168068,0.17574936415656844,-0.05263374773892681,0.3549243761965958,-0.036761647028338285,0.001351418692236095,0.028853020135646112
P120,127,0.1817229573890665,0.2115557947459052,0.14256245004890056,0.15916484147361915,1.0347248703478027,-0.15326925035999414,0.6952496434452916,0.48337206671080535,-0.0298328373568387
P121,125,0.2090160020069942,0.16108719279062725,0.18007962982470643,0.11997431107556347,0.9479582593778577,-0.1861715504459446,0.6445449727443949,0.4154382218900725,0.04792880921636694
P122,125,0.22248854611618227,0.20107143902674388,0.1887508438120468,0.16200445874571456,0.801948645325965,-0.030197210636400375,0.5740840486344179,0.32957249489648477,0.021417107089438392
P123,133,0.21835512492429235,0.2517339620903223,0.18087948180093427,0.20580667707382064,1.159205756723208,-0.2198814423030692,0.6539915124337876,0.4277048983354331,-0.033378837166029934
P124,123,0.06645787427668418,0.06018246800702032,0.047673269796715184,0.04358195476817105,-0.09066933669155253,0.21676056151986717,-0.10586939743412077,0.011208329313063703,0.006275406269663858
P125,122,0.14924197880338588,0.1552521026366429,0.11122181858567728,0.1183306580789073,1.1135079227812024,-0.26958434654127467,0.6890835464957757,0.4748361340511966,-0.006010123833257025
P126,146,0.19248062481653774,0.22910380636437302,0.15889545220676557,0.19303540394554938,0.7699375702202017,-0.09958339234909058,0.6707238468213093,0.44987047869477526,-0.03662318154783528
P127,126,0.1669766765659358,0.152232176768808,0.1319636455412905,0.11598710612164352,1.0242836171224006,-0.17214984180527895,0.7890123001874388,0.6225404098470724,0.014744499797127802
