poly_id,s2_date,ndvi_finale,sorgente,distanza_giorni,ndvi_osservato
P113,2025-08-25,0.3318,osservato,0,0.3318
P113,2025-08-30,0.6287,osservato,0,0.6287
P113,2025-09-01,0.6716,osservato,0,0.6716
P113,2025-09-04,0.6788,osservato,0,0.6788
P113,2025-09-11,0.408,osservato,0,0.408
P113,2025-09-14,0.36029999999999995,interpolato,3,
P113,2025-09-19,0.2808,osservato,0,0.2808
P113,2025-09-21,0.3239,osservato,0,0.3239
P113,2025-09-24,0.37062500000000004,interpolato,3,
P113,2025-09-29,0.4485,osservato,0,0.4485
P113,2025-10-01,0.4608,osservato,0,0.4608
P113,2025-10-04,0.188,osservato,0,0.188
P113,2025-10-09,0.298,osservato,0,0.298
P113,2025-10-11,0.1369,osservato,0,0.1369
P113,2025-10-14,0.15499230769230768,interpolato,3,
P113,2025-10-19,0.18514615384615385,interpolato,5,
P113,2025-10-21,0.1972076923076923,interpolato,3,
P113,2025-10-24,0.2153,osservato,0,0.2153
P113,2025-10-29,0.19446666666666665,interpolato,5,
P113,2025-10-31,0.18613333333333332,interpolato,7,
P113,2025-11-08,0.1528,osservato,0,0.1528
P113,2025-11-10,0.1528,osservato,0,0.1528
P113,2025-11-13,0.16366923076923076,interpolato,3,
P113,2025-11-18,0.18178461538461538,interpolato,5,
P113,2025-11-20,0.18903076923076922,interpolato,3,
P113,2025-11-23,0.1999,osservato,0,0.1999
P113,2025-11-28,0.1856,osservato,0,0.1856
P113,2025-11-30,0.18006,interpolato,2,
P113,2025-12-03,0.17175,interpolato,5,
P113,2025-12-08,0.1579,osservato,0,0.1579
P113,2025-12-10,0.1203,osservato,0,0.1203
P113,2025-12-13,0.1843,osservato,0,0.1843
P113,2025-12-18,0.17986666666666667,interpolato,5,
P113,2025-12-20,0.17809333333333333,interpolato,7,
P113,2025-12-23,0.17543333333333333,interpolato,5,
P113,2025-12-28,0.171,osservato,0,0.171
P113,2025-12-30,0.23342869892464155,radar,2,
P114,2023-01-03,0.336606119946071,radar,25,
P114,2023-01-08,0.22561554578010795,radar,20,
P114,2023-01-13,0.22561554578010795,radar,15,
P114,2023-01-18,0.3222508158270329,radar,10,
P114,2023-01-23,0.3222508158270329,radar,5,
P114,2023-01-28,0.2299,osservato,0,0.2299
P114,2023-02-02,0.1036,osservato,0,0.1036
P114,2023-02-07,0.2073,osservato,0,0.2073
P114,2023-02-12,0.1707,osservato,0,0.1707
P114,2023-02-17,0.2318,osservato,0,0.2318
P114,2023-02-22,0.216225,interpolato,5,
P114,2023-02-27,0.20065,interpolato,10,
P114,2023-03-09,0.1695,osservato,0,0.1695
P114,2023-03-14,0.17222500000000002,interpolato,5,
P114,2023-03-19,0.17495,interpolato,10,
P114,2023-03-24,0.177675,interpolato,5,
P114,2023-03-29,0.1804,osservato,0,0.1804
P114,2023-04-03,0.2,osservato,0,0.2
P114,2023-04-08,0.2044,interpolato,5,
P114,2023-04-13,0.20879999999999999,interpolato,10,
P114,2023-04-18,0.2132,interpolato,5,
P114,2023-04-23,0.2176,osservato,0,0.2176
P114,2023-04-28,0.24786,interpolato,5,
P114,2023-05-03,0.27812,interpolato,10,
P114,2023-05-08,0.30838,interpolato,10,
P114,2023-05-13,0.33864,interpolato,5,
P114,2023-05-18,0.3689,osservato,0,0.3689
P114,2023-05-23,0.3043666666666667,interpolato,5,
P114,2023-05-28,0.23983333333333334,interpolato,5,
P114,2023-06-02,0.1753,osservato,0,0.1753
P114,2023-06-07,0.30035,interpolato,5,
P114,2023-06-12,0.4254,osservato,0,0.4254
P114,2023-06-17,0.5213,osservato,0,0.5213
P114,2023-06-22,0.5435,osservato,0,0.5435
P114,2023-06-27,0.6448,interpolato,5,
P114,2023-07-02,0.7461,interpolato,5,
P114,2023-07-07,0.8474,osservato,0,0.8474
P114,2023-07-12,0.7726,osservato,0,0.7726
P114,2023-07-17,0.8351,osservato,0,0.8351
P114,2023-07-22,0.4122,osservato,0,0.4122
P114,2023-07-27,0.7357,osservato,0,0.7357
P114,2023-08-01,0.8241499999999999,interpolato,5,
P114,2023-08-06,0.9126,osservato,0,0.9126
P114,2023-08-11,0.8692,osservato,0,0.8692
P114,2023-08-16,0.8761,osservato,0,0.8761
P114,2023-08-21,0.8764,osservato,0,0.8764
P114,2023-08-26,0.8166,osservato,0,0.8166
P114,2023-08-31,0.8777,osservato,0,0.8777
P114,2023-09-05,0.8592,osservato,0,0.8592
P114,2023-09-10,0.8129,osservato,0,0.8129
P114,2023-09-15,0.6945,interpolato,5,
P114,2023-09-20,0.5761,interpolato,5,
P114,2023-09-25,0.4577,osservato,0,0.4577
P114,2023-09-30,0.3272,osservato,0,0.3272
P114,2023-10-05,0.3162,interpolato,5,
P114,2023-10-10,0.30519999999999997,interpolato,10,
P114,2023-10-15,0.29419999999999996,interpolato,15,
P114,2023-10-20,0.2832,interpolato,15,
P114,2023-10-25,0.2722,interpolato,10,
P114,2023-10-30,0.2612,interpolato,5,
P114,2023-11-04,0.2502,osservato,0,0.2502
P114,2023-11-09,0.233225,interpolato,5,
P114,2023-11-14,0.21625,interpolato,10,
P114,2023-11-19,0.19927499999999998,interpolato,5,
P114,2023-11-24,0.1823,osservato,0,0.1823
P114,2023-11-29,0.2135,osservato,0,0.2135
P114,2023-12-09,0.1055,osservato,0,0.1055
P114,2023-12-14,0.16225,interpolato,5,
P114,2023-12-19,0.219,osservato,0,0.219
P114,2023-12-24,0.1853,osservato,0,0.1853
P114,2023-12-29,0.18545,interpolato,5,
P114,2024-01-03,0.1856,interpolato,10,
P114,2024-01-08,0.18575,interpolato,5,
P114,2024-01-13,0.1859,osservato,0,0.1859
P114,2024-01-18,0.18430000000000002,interpolato,5,
P114,2024-01-23,0.1827,osservato,0,0.1827
P114,2024-01-28,0.1832,interpolato,5,
P114,2024-02-02,0.1837,osservato,0,0.1837
P114,2024-02-07,0.20224999999999999,interpolato,5,
P114,2024-02-12,0.2208,interpolato,10,
P114,2024-02-17,0.23935,interpolato,15,
P114,2024-02-22,0.2579,interpolato,10,
P114,2024-02-27,0.27645,interpolato,5,
P114,2024-03-03,0.295,osservato,0,0.295
P114,2024-03-08,0.29169999999999996,interpolato,5,
P114,2024-03-13,0.2884,osservato,0,0.2884
P114,2024-03-18,0.29395,interpolato,5,
P114,2024-03-23,0.2995,osservato,0,0.2995
P114,2024-03-28,0.3282,interpolato,5,
P114,2024-04-02,0.3569,osservato,0,0.3569
P114,2024-04-07,0.3243,osservato,0,0.3243
P114,2024-04-12,0.321,osservato,0,0.321
P114,2024-04-17,0.29178333333333334,interpolato,5,
P114,2024-04-22,0.26256666666666667,interpolato,10,
P114,2024-04-27,0.23335,interpolato,15,
P114,2024-05-02,0.20413333333333333,interpolato,10,
P114,2024-05-07,0.17491666666666666,interpolato,5,
P114,2024-05-12,0.1457,osservato,0,0.1457
P114,2024-05-17,0.175475,interpolato,5,
P114,2024-05-22,0.20525,interpolato,10,
P114,2024-05-27,0.23502499999999998,interpolato,5,
P114,2024-06-01,0.2648,osservato,0,0.2648
P114,2024-06-06,0.2453,osservato,0,0.2453
P114,2024-06-11,0.2673,osservato,0,0.2673
P114,2024-06-16,0.313,osservato,0,0.313
P114,2024-06-21,0.273625,interpolato,5,
P114,2024-06-26,0.23425,interpolato,10,
P114,2024-07-01,0.19487500000000002,interpolato,5,
P114,2024-07-06,0.1555,osservato,0,0.1555
P114,2024-07-11,0.1347,osservato,0,0.1347
P114,2024-07-26,0.16544999999999999,interpolato,5,
P114,2024-07-31,0.1757,osservato,0,0.1757
P114,2024-08-05,0.2276,osservato,0,0.2276
P114,2024-08-10,0.2324,osservato,0,0.2324
P114,2024-08-15,0.2591,osservato,0,0.2591
P114,2024-08-20,0.2892,interpolato,5,
P114,2024-08-25,0.3193,osservato,0,0.3193
P114,2024-08-30,0.313,osservato,0,0.313
P114,2024-09-04,0.5175,osservato,0,0.5175
P114,2024-09-09,0.4468,osservato,0,0.4468
P114,2024-09-14,0.431675,interpolato,5,
P114,2024-09-19,0.41655,interpolato,10,
P114,2024-09-24,0.401425,interpolato,5,
P114,2024-09-29,0.3863,osservato,0,0.3863
P114,2024-10-04,0.37147142857142856,interpolato,5,
P114,2024-10-09,0.3566428571428571,interpolato,10,
P114,2024-10-14,0.3418142857142857,interpolato,15,
P114,2024-10-19,0.32698571428571427,interpolato,15,
P114,2024-10-24,0.3121571428571428,interpolato,10,
P114,2024-10-29,0.2973285714285714,interpolato,5,
P114,2024-11-03,0.2825,osservato,0,0.2825
P114,2024-11-08,0.28695,interpolato,5,
P114,2024-11-13,0.2914,osservato,0,0.2914
P114,2024-11-18,0.32155,interpolato,5,
P114,2024-11-23,0.3517,osservato,0,0.3517
P114,2024-11-28,0.3218666666666667,interpolato,5,
P114,2024-12-03,0.29203333333333337,interpolato,10,
P114,2024-12-08,0.2622,interpolato,15,
P114,2024-12-13,0.23236666666666667,interpolato,10,
P114,2024-12-18,0.20253333333333332,interpolato,5,
P114,2024-12-23,0.1727,osservato,0,0.1727
P114,2024-12-28,0.202575,interpolato,5,
P114,2025-01-02,0.23245,interpolato,10,
P114,2025-01-07,0.26232500000000003,interpolato,5,
P114,2025-01-12,0.2922,osservato,0,0.2922
P114,2025-01-17,0.2357,osservato,0,0.2357
P114,2025-01-22,0.239375,interpolato,5,
P114,2025-01-27,0.24305,interpolato,10,
P114,2025-02-01,0.246725,interpolato,5,
P114,2025-02-06,0.2504,osservato,0,0.2504
P114,2025-02-11,0.2563,interpolato,5,
P114,2025-02-16,0.2622,osservato,0,0.2622
P114,2025-02-21,0.2086,osservato,0,0.2086
P114,2025-02-26,0.25275000000000003,interpolato,5,
P114,2025-03-03,0.2969,osservato,0,0.2969
P114,2025-03-08,0.3274,interpolato,5,
P114,2025-03-13,0.3579,osservato,0,0.3579
P114,2025-03-15,0.37488,interpolato,2,
P114,2025-03-18,0.40035,interpolato,5,
P114,2025-03-23,0.4428,osservato,0,0.4428
P114,2025-03-25,0.43923333333333336,interpolato,2,
P114,2025-03-28,0.43388333333333334,interpolato,5,
P114,2025-04-02,0.42496666666666666,interpolato,2,
P114,2025-04-04,0.4214,osservato,0,0.4214
P114,2025-04-07,0.3488,interpolato,3,
P114,2025-04-12,0.2278,osservato,0,0.2278
P114,2025-04-14,0.23348,interpolato,2,
P114,2025-04-17,0.242,osservato,0,0.242
P114,2025-04-22,0.2207,osservato,0,0.2207
P114,2025-04-24,0.1871,osservato,0,0.1871
P114,2025-04-27,0.1824875,interpolato,3,
P114,2025-05-02,0.1748,osservato,0,0.1748
P114,2025-05-04,0.17062000000000002,interpolato,2,
P114,2025-05-07,0.16435,interpolato,5,
P114,2025-05-12,0.1539,osservato,0,0.1539
P114,2025-05-14,0.1904,osservato,0,0.1904
P114,2025-05-17,0.1446,osservato,0,0.1446
P114,2025-05-22,0.14463333333333334,interpolato,5,
P114,2025-05-24,0.14464666666666667,interpolato,7,
P114,2025-05-27,0.14466666666666667,interpolato,5,
P114,2025-06-01,0.1447,osservato,0,0.1447
P114,2025-06-03,0.1802,osservato,0,0.1802
P114,2025-06-11,0.1753,osservato,0,0.1753
P114,2025-06-13,0.1735,osservato,0,0.1735
P114,2025-06-16,0.1842,osservato,0,0.1842
P114,2025-06-21,0.1972,osservato,0,0.1972
P114,2025-06-23,0.21376,interpolato,2,
P114,2025-06-26,0.2386,osservato,0,0.2386
P114,2025-07-01,0.34495714285714285,interpolato,2,
P114,2025-07-03,0.3875,osservato,0,0.3875
P114,2025-07-06,0.444575,interpolato,3,
P114,2025-07-11,0.5397,osservato,0,0.5397
P114,2025-07-13,0.56202,interpolato,2,
P114,2025-07-16,0.5955,osservato,0,0.5955
P114,2025-07-21,0.6492,osservato,0,0.6492
P114,2025-07-23,0.6468,osservato,0,0.6468
P114,2025-07-26,0.68505,interpolato,3,
P114,2025-07-31,0.7488,osservato,0,0.7488
P114,2025-08-02,0.6482333333333333,interpolato,2,
P114,2025-08-05,0.49738333333333334,interpolato,5,
P114,2025-08-12,0.1454,osservato,0,0.1454
P114,2025-08-15,0.1438,osservato,0,0.1438
P114,2025-08-20,0.1475,osservato,0,0.1475
P114,2025-08-22,0.1596,osservato,0,0.1596
P114,2025-08-25,0.16244999999999998,interpolato,3,
P114,2025-08-30,0.1672,osservato,0,0.1672
P114,2025-09-01,0.1476,osservato,0,0.1476
P114,2025-09-04,0.1633,osservato,0,0.1633
P114,2025-09-11,0.1916,osservato,0,0.1916
P114,2025-09-14,0.1922,interpolato,3,
P114,2025-09-19,0.1932,osservato,0,0.1932
P114,2025-09-21,0.19744,interpolato,2,
P114,2025-09-24,0.2038,interpolato,5,
P114,2025-09-29,0.2144,osservato,0,0.2144
P114,2025-10-01,0.2147,osservato,0,0.2147
P114,2025-10-04,0.2454,osservato,0,0.2454
P114,2025-10-09,0.2245,osservato,0,0.2245
P114,2025-10-11,0.178,osservato,0,0.178
P114,2025-10-14,0.1936,osservato,0,0.1936
P114,2025-10-19,0.2434,interpolato,5,
P114,2025-10-21,0.26332,interpolato,3,
P114,2025-10-24,0.2932,osservato,0,0.2932
P114,2025-10-29,0.1876,osservato,0,0.1876
P114,2025-10-31,0.19313999999999998,interpolato,2,
P114,2025-11-08,0.2153,osservato,0,0.2153
P114,2025-11-10,0.2311,osservato,0,0.2311
P114,2025-11-13,0.2262076923076923,interpolato,3,
P114,2025-11-18,0.21805384615384615,interpolato,5,
P114,2025-11-20,0.2147923076923077,interpolato,3,
P114,2025-11-23,0.2099,osservato,0,0.2099
P114,2025-11-28,0.1846,osservato,0,0.1846
P114,2025-11-30,0.19366,interpolato,2,
P114,2025-12-03,0.20725,interpolato,5,
P114,2025-12-08,0.2299,osservato,0,0.2299
P114,2025-12-10,0.1538,osservato,0,0.1538
P114,2025-12-13,0.2245,osservato,0,0.2245
P114,2025-12-18,0.222,interpolato,5,
P114,2025-12-20,0.221,interpolato,7,
P114,2025-12-23,0.2195,interpolato,5,
P114,2025-12-28,0.217,osservato,0,0.217
P114,2025-12-30,0.1642571818283894,radar,2,
P115,2023-01-03,0.3132422807317318,radar,25,
P115,2023-01-08,0.27030648968691545,radar,20,
P115,2023-01-13,0.27030648968691545,radar,15,
P115,2023-01-18,0.3367459119509662,radar,10,
P115,2023-01-23,0.3367459119509662,radar,5,
P115,2023-01-28,0.3121,osservato,0,0.3121
P115,2023-02-02,0.2315,osservato,0,0.2315
P115,2023-02-07,0.2118,osservato,0,0.2118
P115,2023-02-12,0.1167,osservato,0,0.1167
P115,2023-02-17,0.163,osservato,0,0.163
P115,2023-02-22,0.153325,interpolato,5,
P115,2023-02-27,0.14365,interpolato,10,
P115,2023-03-09,0.1243,osservato,0,0.1243
P115,2023-03-14,0.128375,interpolato,5,
P115,2023-03-19,0.13245,interpolato,10,
P115,2023-03-24,0.136525,interpolato,5,
P115,2023-03-29,0.1406,osservato,0,0.1406
P115,2023-04-03,0.1419,osservato,0,0.1419
P115,2023-04-08,0.1303,interpolato,5,
P115,2023-04-13,0.1187,osservato,0,0.1187
P115,2023-04-18,0.12355,interpolato,5,
P115,2023-04-23,0.1284,osservato,0,0.1284
P115,2023-04-28,0.12499999999999999,interpolato,5,
P115,2023-05-03,0.12159999999999999,interpolato,10,
P115,2023-05-08,0.11819999999999999,interpolato,15,
P115,2023-05-13,0.11479999999999999,interpolato,20,
P115,2023-05-18,0.1114,interpolato,15,
P115,2023-05-23,0.108,interpolato,10,
P115,2023-05-28,0.1046,interpolato,5,
P115,2023-06-02,0.1012,osservato,0,0.1012
P115,2023-06-07,0.14024999999999999,interpolato,5,
P115,2023-06-12,0.1793,osservato,0,0.1793
P115,2023-06-17,0.2698,osservato,0,0.2698
P115,2023-06-22,0.3709,osservato,0,0.3709
P115,2023-06-27,0.4658,interpolato,5,
P115,2023-07-02,0.5607,osservato,0,0.5607
P115,2023-07-07,0.6568,osservato,0,0.6568
P115,2023-07-12,0.6717,osservato,0,0.6717
P115,2023-07-17,0.7281,osservato,0,0.7281
P115,2023-07-22,0.634,osservato,0,0.634
P115,2023-07-27,0.3453,osservato,0,0.3453
P115,2023-08-01,0.4838,interpolato,5,
P115,2023-08-06,0.6223,osservato,0,0.6223
P115,2023-08-11,0.5748,osservato,0,0.5748
